"local_authority_name","hour","count_date","cars_and_taxis","buses_and_coaches","lgvs"
"Bexley","07:00:00","2018-03-16",5856,66,1791
"Croydon","07:00:00","2018-03-16",16,0,7
"Ealing","07:00:00","2018-03-16",612,39,153
"Greenwich","07:00:00","2018-03-16",23,0,0
"Hillingdon","07:00:00","2018-03-16",25,0,4
"Hounslow","07:00:00","2018-03-16",2034,20,577
"Lambeth","07:00:00","2018-03-16",673,54,424
"Newham","07:00:00","2018-03-16",21,0,3
"Southwark","07:00:00","2018-03-16",335,20,325
"Bexley","08:00:00","2018-03-16",5245,38,1165
"Croydon","08:00:00","2018-03-16",32,0,4
"Ealing","08:00:00","2018-03-16",705,37,116
"Greenwich","08:00:00","2018-03-16",47,0,1
"Hillingdon","08:00:00","2018-03-16",45,0,10
"Hounslow","08:00:00","2018-03-16",2101,25,396
"Lambeth","08:00:00","2018-03-16",682,76,364
"Newham","08:00:00","2018-03-16",81,0,11
"Southwark","08:00:00","2018-03-16",334,20,263
"Bexley","09:00:00","2018-03-16",4640,44,1030
"Croydon","09:00:00","2018-03-16",20,0,9
"Ealing","09:00:00","2018-03-16",557,42,132
"Greenwich","09:00:00","2018-03-16",22,0,3
"Hillingdon","09:00:00","2018-03-16",21,0,6
"Hounslow","09:00:00","2018-03-16",2215,36,446
"Lambeth","09:00:00","2018-03-16",643,71,413
"Newham","09:00:00","2018-03-16",22,0,6
"Southwark","09:00:00","2018-03-16",413,24,288
"Bexley","10:00:00","2018-03-16",4009,23,1004
"Croydon","10:00:00","2018-03-16",17,0,2
"Ealing","10:00:00","2018-03-16",550,39,149
"Greenwich","10:00:00","2018-03-16",12,0,5
"Hillingdon","10:00:00","2018-03-16",22,0,5
"Hounslow","10:00:00","2018-03-16",1932,31,503
"Lambeth","10:00:00","2018-03-16",676,55,338
"Newham","10:00:00","2018-03-16",21,0,6
"Southwark","10:00:00","2018-03-16",366,24,199
"Bexley","11:00:00","2018-03-16",4160,10,1076
"Croydon","11:00:00","2018-03-16",17,0,1
"Ealing","11:00:00","2018-03-16",527,39,123
"Greenwich","11:00:00","2018-03-16",5,0,2
"Hillingdon","11:00:00","2018-03-16",22,0,6
"Hounslow","11:00:00","2018-03-16",2059,22,467
"Lambeth","11:00:00","2018-03-16",660,59,405
"Newham","11:00:00","2018-03-16",37,0,5
"Southwark","11:00:00","2018-03-16",320,19,198
"Bexley","12:00:00","2018-03-16",4472,21,1106
"Croydon","12:00:00","2018-03-16",22,0,2
"Ealing","12:00:00","2018-03-16",604,40,151
"Greenwich","12:00:00","2018-03-16",7,0,6
"Hillingdon","12:00:00","2018-03-16",35,0,4
"Hounslow","12:00:00","2018-03-16",2028,25,455
"Lambeth","12:00:00","2018-03-16",631,59,360
"Newham","12:00:00","2018-03-16",16,0,4
"Southwark","12:00:00","2018-03-16",307,19,193
"Bexley","13:00:00","2018-03-16",4703,20,1186
"Croydon","13:00:00","2018-03-16",16,0,5
"Ealing","13:00:00","2018-03-16",566,34,119
"Greenwich","13:00:00","2018-03-16",34,0,9
"Hillingdon","13:00:00","2018-03-16",34,0,1
"Hounslow","13:00:00","2018-03-16",2194,25,480
"Lambeth","13:00:00","2018-03-16",649,49,340
"Newham","13:00:00","2018-03-16",28,0,5
"Southwark","13:00:00","2018-03-16",291,21,215
"Bexley","14:00:00","2018-03-16",5183,28,1523
"Croydon","14:00:00","2018-03-16",18,0,2
"Ealing","14:00:00","2018-03-16",616,38,141
"Greenwich","14:00:00","2018-03-16",23,0,5
"Hillingdon","14:00:00","2018-03-16",29,0,5
"Hounslow","14:00:00","2018-03-16",2383,29,496
"Lambeth","14:00:00","2018-03-16",776,63,417
"Newham","14:00:00","2018-03-16",22,0,5
"Southwark","14:00:00","2018-03-16",358,17,193
"Bexley","15:00:00","2018-03-16",5566,31,1610
"Croydon","15:00:00","2018-03-16",44,0,5
"Ealing","15:00:00","2018-03-16",694,42,111
"Greenwich","15:00:00","2018-03-16",10,0,4
"Hillingdon","15:00:00","2018-03-16",47,0,3
"Hounslow","15:00:00","2018-03-16",2440,29,445
"Lambeth","15:00:00","2018-03-16",786,56,353
"Newham","15:00:00","2018-03-16",54,0,8
"Southwark","15:00:00","2018-03-16",384,21,206
"Bexley","16:00:00","2018-03-16",6279,30,1486
"Croydon","16:00:00","2018-03-16",34,0,6
"Ealing","16:00:00","2018-03-16",764,40,95
"Greenwich","16:00:00","2018-03-16",14,0,6
"Hillingdon","16:00:00","2018-03-16",47,0,6
"Hounslow","16:00:00","2018-03-16",2550,30,387
"Lambeth","16:00:00","2018-03-16",860,68,318
"Newham","16:00:00","2018-03-16",22,0,2
"Southwark","16:00:00","2018-03-16",427,24,228
"Bexley","17:00:00","2018-03-16",6042,41,1122
"Croydon","17:00:00","2018-03-16",35,0,10
"Ealing","17:00:00","2018-03-16",705,35,74
"Greenwich","17:00:00","2018-03-16",24,0,1
"Hillingdon","17:00:00","2018-03-16",46,0,4
"Hounslow","17:00:00","2018-03-16",2613,25,291
"Lambeth","17:00:00","2018-03-16",852,62,250
"Newham","17:00:00","2018-03-16",39,0,14
"Southwark","17:00:00","2018-03-16",389,20,122
"Bexley","18:00:00","2018-03-16",6130,59,680
"Croydon","18:00:00","2018-03-16",44,0,8
"Ealing","18:00:00","2018-03-16",700,38,60
"Greenwich","18:00:00","2018-03-16",12,0,0
"Hillingdon","18:00:00","2018-03-16",33,0,2
"Hounslow","18:00:00","2018-03-16",3165,24,229
"Lambeth","18:00:00","2018-03-16",948,53,178
"Newham","18:00:00","2018-03-16",32,0,2
"Southwark","18:00:00","2018-03-16",782,29,96
"Bexley","07:00:00","2018-03-19",308,26,58
"Enfield","07:00:00","2018-03-19",709,2,119
"Haringey","07:00:00","2018-03-19",38,0,9
"Harrow","07:00:00","2018-03-19",51,0,1
"Bexley","08:00:00","2018-03-19",392,20,55
"Enfield","08:00:00","2018-03-19",1121,2,96
"Haringey","08:00:00","2018-03-19",77,0,17
"Harrow","08:00:00","2018-03-19",165,0,9
"Bexley","09:00:00","2018-03-19",285,29,50
"Enfield","09:00:00","2018-03-19",607,1,110
"Haringey","09:00:00","2018-03-19",41,0,15
"Harrow","09:00:00","2018-03-19",68,0,7
"Bexley","10:00:00","2018-03-19",272,22,48
