   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2019,20.500,11.200, 9.100, 6.600, 5.900, 6.800, 5.700, 7.500, 4.500, 4.800, 7.200, 7.400, 7.600, 7.800, 7.000, 7.500, 6.100, 5.500, 6.100, 6.000, 4.300, 4.900, 5.800, 5.200
02-01-2019, 3.500, 5.100, 6.700, 5.300, 6.700, 7.500, 6.900, 5.600, 7.100, 7.300, 7.900, 5.700, 8.100, 8.500, 6.700, 6.600, 8.800, 6.200, 7.400, 9.200, 9.600, 9.800,10.900, 9.800
03-01-2019,14.000,12.300, 9.500,13.300,17.700,12.500,12.500,10.100, 8.200, 8.000, 8.700,11.100,14.200,10.600,13.000, 7.200, 7.600, 9.400,13.500,13.300,17.800,19.300,21.300,20.800
04-01-2019,19.500,20.300,20.300,21.100,20.400,26.700,28.500,30.300,32.800,33.000,29.600,29.400,26.700,19.300,21.500,16.000,12.400,22.000,20.500,19.300,22.400,25.300,27.300,26.900
05-01-2019,25.200,25.400,19.300,21.500,19.200,20.600,19.800,20.200,22.900,23.500,20.000,18.600,16.300,12.600,16.500,16.500,16.800,17.700,18.700,16.100,15.900,13.900,13.000,11.400
06-01-2019,14.900,21.900,20.800,20.600,18.500,17.000,17.700,17.700,17.500,17.100,17.300,13.200,11.000,12.200,13.100,12.900,14.900,17.700,18.300,17.400,19.400,19.500,19.500,20.200
07-01-2019,17.800,16.400,15.700,15.700,12.400,13.800,12.600, 9.600,10.400,10.500, 8.900, 9.400,10.600,11.200, 8.400,10.000, 8.200, 9.300, 9.100, 9.500,10.000, 8.400, 6.000, 6.400
08-01-2019, 6.600, 5.100, 6.200, 6.000, 4.000, 4.400, 4.600, 5.800, 7.100, 6.100,10.100, 7.600, 6.800, 5.600, 7.300, 8.500, 6.900,10.000,11.300,11.900, 9.600, 7.300, 7.800, 7.700
09-01-2019, 8.200, 8.000, 5.700, 5.300, 5.900, 5.200, 4.900, 5.000, 6.900, 6.100, 4.900, 6.700, 5.800, 7.600, 7.000, 5.600, 7.100, 6.200, 7.100, 7.900,10.100,11.000,14.000,15.500
10-01-2019,13.800,15.600,16.100,15.800,15.800,15.900,20.700,23.500,23.600,26.900,27.600,32.900,33.900,35.500,33.800,20.700,22.700,23.800,24.300,28.200,30.800,31.700,29.200,27.100
11-01-2019,24.400,20.200,19.700,18.100,17.700,21.700,20.300,20.100,19.300,18.400,15.400,16.700,16.100,14.800,17.900,17.100,18.800,15.700,13.000,11.000, 8.600, 9.700,12.000,11.900
12-01-2019,13.500,11.400, 9.800, 6.800, 4.300, 3.300, 5.300, 6.400, 5.900, 3.300, 6.900, 7.800, 5.100, 3.700, 2.600, 4.600, 5.200, 6.700, 4.500, 6.800, 7.100, 5.400, 5.400, 6.300
13-01-2019, 6.800, 6.700, 5.200, 5.100, 3.900, 3.500, 7.500, 7.400, 5.100, 4.400, 6.900, 4.800, 4.700, 6.000, 1.700, 4.000, 4.300, 5.400, 6.800, 3.000, 3.700, 3.800, 4.000, 4.100
14-01-2019, 5.000, 5.700, 6.100, 5.200, 5.000, 6.200, 6.800, 5.700, 6.600, 7.400, 6.000, 8.400, 7.000, 8.800, 8.200, 7.700, 8.500, 8.300,10.100, 8.700,12.300,11.900,11.400, 9.500
15-01-2019,10.100, 9.600, 8.300, 5.000, 6.500, 6.600, 6.600, 7.400, 5.800, 6.700, 6.600, 7.000, 5.300, 6.900, 7.200, 5.800, 5.400, 8.400, 8.400, 7.100, 5.000, 5.000, 5.100, 5.700
16-01-2019, 3.900, 4.800, 6.300, 3.900, 3.700, 5.300, 5.900, 6.900, 6.000, 6.000, 6.000, 6.100, 5.300, 6.900, 4.700, 4.700, 8.500, 4.700, 2.900, 8.400,10.200, 8.200, 8.000, 6.500
17-01-2019, 9.300, 9.400,10.000, 7.500,11.200,11.700, 8.800, 9.000, 6.300, 5.400, 3.300, 5.200, 4.300, 5.600, 5.100, 6.400, 6.600, 6.100, 6.900, 6.700, 8.400, 8.100, 9.500, 9.300
18-01-2019,13.400,13.900,11.700,12.600,10.500,13.300,13.200,14.700,18.000,20.300,18.900,12.000,11.600,24.900, 9.000, 8.800, 7.400, 8.700,12.200,13.000,12.300,11.200, 8.200, 8.000
19-01-2019, 5.600, 7.000, 6.600,11.000,12.200,12.100,11.500,12.000,12.200,11.100,10.400,12.600,12.400,13.400,13.900,12.800,15.300,13.700,12.200,16.700,18.700,19.200,22.100,28.200
20-01-2019,27.700,22.200,22.900,23.400,23.200,23.500,28.000,27.100,25.800,27.500,25.100,25.800,22.600,17.900,16.600,18.600,20.100,28.200,28.900,32.600,32.100,33.100,33.800,34.400
21-01-2019,35.477,37.277,36.077,36.777,38.077,36.577,39.077,39.977,38.677,40.077,42.077,49.377,48.577,35.677,22.577,23.577,37.577,37.177,33.177,29.577,27.177,21.577,19.377,17.077
22-01-2019,15.955,15.055,10.055,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
23-01-2019,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
24-01-2019,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
25-01-2019,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,19.486,17.386,18.586,16.486,11.486,11.286, 8.786,10.286,10.886,12.786,11.586,11.886,12.786,13.386
26-01-2019,12.464,12.364,12.664,13.964, 8.364, 5.464, 4.464, 2.964, 4.164, 4.864, 2.864, 5.364, 3.464, 5.964, 4.564, 6.164, 6.164, 5.964, 6.464, 5.364, 6.464, 8.164, 6.864, 9.464
27-01-2019, 8.441, 6.641, 7.341, 6.641, 7.241, 3.541, 3.941, 3.741, 2.341, 4.341, 3.941, 6.941, 4.841, 8.341, 7.541, 7.941,10.341, 8.641, 7.041, 9.841, 6.941, 7.741,10.141, 6.841
