   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,27.000,58.400,22.600,18.500,19.300,15.600,14.400,14.100,17.800,21.500,21.600,26.800,27.900,29.400,30.000,28.000,24.800,24.000,21.500,18.700,10.500, 7.600, 8.700, 8.800
02-01-2021, 6.700, 3.800, 5.500, 5.400, 5.100, 4.600,11.200, 5.000, 1.900, 6.100, 4.500, 6.900, 5.200, 7.100,10.000, 8.500, 9.100,13.400,12.200,11.400,10.500,13.700,13.300,13.600
03-01-2021,12.200, 7.800, 3.800, 3.900, 6.600,10.400,11.200, 9.600,10.500, 7.400, 5.500, 7.600, 7.100, 5.500, 7.800, 5.200, 5.300, 6.600, 7.800,10.100, 9.100,11.500, 9.200, 6.700
04-01-2021, 3.300, 5.000, 4.400, 4.800, 2.700, 4.900, 4.800, 3.700, 3.800, 5.200, 4.300, 2.800, 5.200, 4.000, 5.900, 4.000, 5.900, 5.200, 4.500, 4.800, 5.200, 2.000, 3.700, 1.300
05-01-2021, 1.500, 3.600, 1.400, 0.300, 1.400,-0.200, 3.800, 3.100, 3.000, 3.600, 4.400, 5.000, 5.600, 5.900, 5.300, 5.800, 4.500, 4.400, 5.100, 4.000, 3.000, 4.500, 4.800, 2.000
06-01-2021, 2.500, 4.200, 1.100, 2.500, 3.600, 3.300, 3.500, 6.600, 4.900, 5.600, 4.700, 5.500, 2.300, 7.200, 5.300, 7.100, 5.100,10.500,12.500,10.500, 8.600, 9.700,12.300, 9.400
07-01-2021,10.800,10.100,13.200,12.800,15.700,14.800,13.800,14.200,15.300,19.100,19.600,20.400,14.500,14.000,15.700,12.200,13.600,19.200,20.300,18.300,21.300,22.100,21.000,21.600
08-01-2021,20.800,22.900,23.800,23.700,25.800,24.900,23.800,26.300,25.600,26.400,28.600,28.300,30.400,22.200,20.400,22.000,18.400,19.500,18.900,20.400,22.400,25.000,23.500,19.100
09-01-2021,11.600, 8.300,11.300,11.200,10.800, 8.500, 8.500, 7.900, 6.800, 9.900, 8.500,11.900,13.700,16.400,16.000,10.500,15.900,30.100,38.100,42.500,40.100,39.300,29.500,20.800
10-01-2021,19.000,13.800,14.200,12.900,12.000,13.400,10.300,13.700,14.400,15.600,19.800,22.000,20.500,21.800,21.900,20.900,24.900,20.900,21.900,19.600,22.200,20.200,18.900,17.000
