   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
02-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
03-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
04-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
05-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
06-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
07-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
08-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
09-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
10-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
11-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 5.500, 4.600, 7.100, 6.000, 4.500, 4.000, 6.000, 3.600
12-01-2021, 1.500, 3.900, 5.400, 1.700, 1.500, 3.000, 2.200, 1.100, 4.600, 4.100, 6.300, 5.800, 4.100, 6.300, 4.900, 5.300, 3.600, 2.900, 9.600,11.400,14.200,13.300,14.600,16.700
13-01-2021,16.400,15.600,15.700,12.800,11.700, 9.300,11.400,11.600,10.900,10.600,11.100,12.400,11.400,10.900, 9.900, 8.300, 7.400, 9.800, 8.500,10.900, 9.800, 8.800, 6.600, 7.600
14-01-2021, 4.400, 5.000, 4.700, 3.500, 3.600, 4.300, 3.600, 3.600, 1.400, 5.300, 7.300, 5.300, 3.600, 2.600, 3.500, 2.400, 5.600, 6.500, 3.700, 7.300, 9.600, 9.400, 8.500, 9.600
