   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,55.137,70.347,45.738,45.024,41.227,40.573,40.618,40.352,38.778,42.653,41.528,38.986,30.465,26.602,28.040,27.703,21.932,15.413,19.583,27.918,22.250,25.859,26.024,24.821
02-01-2020,18.052,13.868,15.212,14.601,13.217,12.854,11.033, 6.149, 4.734, 3.760, 3.800, 3.357, 3.970, 5.428, 5.430, 5.207, 4.217, 3.207, 2.923, 4.245, 4.812, 4.940, 7.321, 5.886
03-01-2020, 5.209, 4.091, 4.530, 2.652, 1.070, 0.956, 1.132, 1.657, 2.413, 2.879, 5.943, 5.501, 5.029, 5.388, 6.422, 6.872, 7.302,10.934, 7.871, 7.102, 7.906, 7.749, 7.179, 7.009
04-01-2020, 7.934, 7.833, 6.835, 6.109, 5.488, 5.941, 6.176, 4.890, 4.633, 4.340, 3.645, 3.783, 3.710, 2.681, 2.288, 1.656, 2.287, 4.052, 5.662, 7.458, 7.941, 8.050, 9.957,10.461
05-01-2020, 8.317, 5.530, 3.781, 3.161, 2.684, 2.077, 2.271, 1.889, 1.743, 1.943, 1.454, 0.675, 0.658, 0.878, 1.002, 1.284, 1.628, 2.353, 3.508, 4.210, 3.855, 5.231, 5.366, 6.090
06-01-2020, 5.893, 4.137, 3.196, 3.378, 4.259, 5.741, 6.272, 6.493, 5.638, 4.912, 5.084, 6.168, 6.708, 6.838, 7.546, 7.601, 7.441, 5.973, 5.201, 4.800, 7.939,11.903,13.078,12.873
07-01-2020,11.920,11.908,11.295,10.951,10.767,10.153,10.429,11.158,12.094,11.738,11.354,11.210,11.906,10.941,10.038, 4.155, 2.141, 2.159, 2.638, 1.567, 1.826, 1.596, 1.289, 1.174
08-01-2020, 0.913, 0.755, 1.002, 1.160, 0.966, 1.482, 4.563, 7.484,10.568,11.651,13.201,14.175,14.818,15.484,15.708,15.783,15.816,16.205,18.135,17.073,17.649,16.828,11.250, 5.280
09-01-2020, 1.029, 0.654, 0.674, 1.053, 1.298, 0.818, 0.882, 1.367, 3.781, 4.608, 5.952, 6.908, 6.713, 6.898, 4.469, 3.377, 2.526, 3.995, 5.203, 7.723, 7.102, 2.365, 5.363, 6.789
10-01-2020, 8.938,11.202,10.719, 8.292, 9.309,11.396, 6.445, 1.989, 1.956, 1.766, 1.948, 3.379, 4.726, 4.113, 3.536, 2.983, 3.300, 4.765, 5.367, 7.927, 9.033, 9.626, 7.731, 5.515
11-01-2020, 5.146, 5.080, 4.567, 4.867, 5.483, 5.915, 6.039, 5.661, 5.410, 4.746, 3.950, 3.026, 2.504, 5.752, 9.356, 8.501, 6.779, 7.100, 5.522, 5.787, 6.744, 6.422, 5.727, 5.314
12-01-2020, 5.037, 4.668, 2.884, 1.616, 1.420, 1.445, 1.283, 0.790, 1.121, 0.911, 1.479, 1.544, 2.012, 1.890, 1.790, 1.664, 2.164, 1.957, 2.885, 4.198, 4.609, 5.485, 5.958, 6.227
13-01-2020, 6.812, 6.715, 6.514, 5.488, 4.647, 4.763, 3.964, 4.248, 6.169, 5.763, 4.926, 4.852, 4.388, 4.082, 3.709, 3.091, 2.877, 3.171, 2.555, 2.379, 2.629, 1.417, 1.698, 2.574
14-01-2020, 3.850, 3.927, 6.115, 8.106,10.847,11.425, 9.313, 7.350, 7.541, 8.411, 7.537, 4.023, 1.898, 0.749, 0.714, 0.809, 0.785, 0.853, 1.021, 1.445, 2.490, 2.875, 2.891, 3.314
