   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,35.189,36.250,39.623,41.179,40.118,39.387,39.293,37.995,37.194,33.821,33.255,35.142,35.354,36.014,36.651,29.811,23.797,23.679,30.071,27.618,20.778,21.344,20.000,18.609
02-01-2020,14.387,11.745,11.344,11.297,11.509,11.769,10.377, 7.288, 5.637, 4.552, 3.325, 3.113, 3.491, 5.142, 5.354, 5.472, 5.259, 4.410, 4.080, 4.410, 5.165, 5.000, 6.297, 6.226
03-01-2020, 5.826, 4.811, 5.259, 3.090, 1.297, 0.967, 0.920, 1.321, 1.934, 2.241, 5.660, 5.991, 4.434, 4.693, 5.708, 6.368, 7.476, 9.009, 9.080, 9.009, 8.514, 8.679, 8.373, 7.665
04-01-2020, 6.792, 6.958, 6.958, 6.604, 6.368, 5.802, 5.283, 5.259, 4.882, 4.552, 4.575, 3.585, 3.443, 3.373, 2.925, 7.547, 6.297, 4.104, 4.340, 7.170,10.873,11.156,11.109,11.274
05-01-2020,10.259, 7.830, 6.415, 4.458, 3.373, 2.382, 2.146, 1.816, 1.769, 1.981, 1.698, 1.061, 0.778, 0.943, 1.061, 1.698, 2.052, 3.349, 4.788, 6.486, 6.934, 6.604, 5.566, 5.849
06-01-2020, 6.061, 4.033, 3.656, 3.632, 4.410, 6.344, 7.241, 7.429, 6.061, 5.000, 4.835, 5.165, 5.755, 6.439, 6.934, 7.028, 6.627, 6.297, 6.132, 6.533, 8.019,11.675,14.788,14.859
07-01-2020,14.009,13.066,12.972,12.783,11.934,11.580,11.014,12.052,12.877,12.972,11.910,12.241,11.793,11.297, 8.821, 4.741, 3.467, 1.722, 1.769, 1.958, 2.854, 2.429, 2.123, 1.675
08-01-2020, 1.462, 1.132, 1.085, 1.250, 1.132, 1.226, 3.325, 7.712,11.840,13.632,15.071,16.250,17.193,17.500,17.760,17.335,17.288,18.868,19.293,17.877,19.057,19.458,11.981, 5.991
09-01-2020, 1.604, 1.038, 0.778, 1.109, 1.627, 0.943, 0.825, 1.109, 2.995, 3.561, 5.708, 6.816, 7.877, 7.076, 4.127, 3.184, 2.335, 3.609, 5.943, 8.703,10.047, 5.212, 5.283, 5.448
10-01-2020, 6.486, 8.774, 9.741, 6.368, 5.660, 8.420, 8.632, 3.278, 2.217, 2.571, 2.689, 2.382, 3.090, 3.986, 4.693, 4.198, 3.892, 5.519, 8.962,10.543, 9.434, 9.080, 8.632, 6.344
11-01-2020, 5.142, 5.236, 5.071, 5.236, 5.991, 6.486, 6.863, 6.250, 6.297, 6.109, 5.920, 4.929, 3.585, 3.915, 6.014, 7.146, 7.901, 7.877, 7.925, 6.981, 7.877, 7.736, 6.958, 6.533
12-01-2020, 6.061, 5.826, 4.340, 2.689, 1.675, 1.038, 1.132, 1.321, 1.226, 1.226, 1.651, 1.958, 2.123, 2.335, 2.288, 2.052, 2.524, 2.547, 3.986, 6.415, 7.547, 6.698, 7.076, 6.698
13-01-2020, 6.840, 7.146, 6.840, 6.132, 5.094, 4.764, 3.774, 4.599, 6.816, 6.792, 5.613, 5.024, 4.906, 4.505, 4.009, 3.160, 3.160, 3.373, 3.019, 2.618, 2.995, 2.075, 1.816, 3.019
14-01-2020, 3.726, 4.458, 5.826, 7.571,11.297,12.052,11.179, 9.151, 7.736, 9.788, 8.302, 4.693, 2.217, 0.873, 0.943, 0.991, 1.061, 1.226, 1.132, 1.863, 3.090, 3.278, 4.198, 4.528
