   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,      ,45.495,46.321,42.382,38.585,38.326,36.793,36.321,34.458,36.604,36.863,36.156,33.703,31.958,31.392,21.934,29.010,29.293,23.679,19.505,20.566,24.127,24.694,17.689
02-01-2020,14.033,13.373,11.887,12.382,12.594,11.627, 8.821, 6.816, 5.613, 2.877, 2.382, 2.500, 3.491, 5.165, 5.189, 5.519, 4.552, 3.561, 3.160, 3.915, 4.859, 4.906, 6.509, 5.896
03-01-2020, 5.755, 4.458, 5.401, 2.099, 1.297, 0.920, 0.991, 1.981, 2.642, 2.264, 5.495, 5.542, 4.811, 5.000, 5.943, 6.014, 7.311, 8.939,10.259, 8.396, 8.278, 9.009, 7.453, 6.745
04-01-2020, 8.231, 6.651, 6.627, 6.509, 5.755, 5.212, 5.142, 4.788, 4.458, 4.481, 4.552, 3.844, 3.585, 3.255, 2.382, 2.453, 3.514, 6.415, 8.962,12.736,11.934,15.660,15.873,11.675
05-01-2020,10.283, 7.052, 4.481, 3.255, 2.241, 2.052, 1.722, 1.439, 1.627, 1.580, 1.344, 0.684, 0.778, 1.061, 1.321, 2.099, 3.066, 3.679, 5.377, 6.226, 6.321, 5.802, 4.670, 5.590
06-01-2020, 5.212, 4.057, 3.561, 3.679, 4.788, 6.321, 6.769, 6.863, 5.094, 4.410, 4.316, 4.859, 5.566, 6.297, 7.571, 7.099, 8.137, 5.283, 4.670, 4.741, 6.840,10.212, 8.302, 7.382
07-01-2020, 7.759, 7.146, 8.892,10.283, 8.726, 9.976,10.613,10.967,11.439,12.359,12.005,12.217,11.439,11.014, 9.104, 5.283, 1.840, 1.321, 1.085, 1.321, 2.005, 1.533, 1.392, 1.415
08-01-2020, 1.486, 1.061, 1.085, 1.226, 0.943, 0.991, 2.925, 6.651,10.472,11.344,12.311,14.906,15.354,15.755,15.943,15.684,19.835,22.760,18.632,17.524,21.392,16.745,10.071, 3.844
09-01-2020, 0.778, 0.778, 0.708, 1.250, 1.675, 0.920, 0.825, 1.344, 2.972, 3.774, 5.967, 7.359, 6.698, 5.425, 3.750, 1.910, 2.264, 4.269, 6.297, 8.255, 8.774, 4.363, 3.892, 6.085
10-01-2020, 8.868, 9.741,12.453, 8.160, 8.208,10.094, 9.151, 3.443, 1.722, 1.745, 1.580, 2.028, 4.741, 4.340, 3.679, 2.759, 3.420, 6.132, 7.217, 9.717, 8.774, 6.651, 5.991, 4.363
11-01-2020, 4.222, 4.505, 4.906, 5.731, 6.297, 6.981, 6.840, 6.203, 6.132, 5.967, 5.542, 4.175, 3.632, 3.656, 6.392, 7.146, 7.500, 7.901, 7.170, 6.792, 7.500, 7.170, 6.627, 6.604
12-01-2020, 6.109, 5.943, 3.821, 2.476, 1.439, 0.943, 1.321, 1.274, 1.203, 1.226, 1.651, 2.359, 2.476, 2.264, 2.217, 2.028, 1.887, 2.453, 4.575, 5.826, 5.401, 5.519, 5.637, 5.708
13-01-2020, 6.038, 6.557, 6.533, 5.448, 4.835, 4.363, 3.609, 4.080, 6.274, 6.792, 6.321, 5.613, 5.448, 4.764, 4.127, 3.066, 3.255, 3.585, 2.925, 2.571, 3.160, 2.193, 1.580, 2.547
14-01-2020, 3.986, 5.142, 5.920, 9.033,11.085,12.241, 9.929, 8.326, 7.099, 9.363, 7.359, 4.033, 1.745, 0.684, 0.920, 0.967, 1.085, 1.297, 1.061, 2.241, 3.302, 3.656, 4.741, 5.071
15-01-2020, 6.887, 6.675, 7.759, 3.915, 0.354, 0.401, 0.542, 1.038, 1.486, 1.958, 1.816, 2.406, 2.170, 2.571, 3.892, 4.623, 5.472, 6.462, 6.344, 6.533, 6.604, 6.887, 6.580, 6.580
16-01-2020, 6.816, 7.099, 6.297, 5.778, 5.566, 5.873, 6.014, 5.873, 5.566, 4.693, 4.505, 4.481, 5.118, 6.344, 7.524, 7.594, 7.193, 7.217, 6.297, 6.274, 5.943, 5.094, 5.330, 5.071
17-01-2020, 4.811, 5.142, 5.849, 5.991, 6.368, 5.637, 2.241, 3.184, 5.472, 4.741, 3.396, 1.486, 0.920, 0.755, 1.533, 2.925, 2.429, 2.382, 2.618, 3.821, 3.821, 4.127, 4.481, 4.080
18-01-2020, 3.868, 3.443, 3.373, 3.514, 3.325, 4.127, 4.481, 4.623, 4.623, 5.991, 7.052, 6.958, 6.816, 6.958, 5.000, 8.113,13.585,19.175,16.250,15.660,25.802,27.429,30.142,20.802
19-01-2020,10.873,11.462, 9.717, 9.764, 9.151, 8.797, 7.500, 6.627, 8.703,10.920,10.566, 8.443, 9.175, 8.915, 8.962, 9.269,12.288,14.410,20.000,23.160,26.698,28.703,32.901,28.302
20-01-2020,28.750,25.991,25.047,24.245,23.231,21.769,21.250,20.472,19.906,17.123,15.873,17.948,19.623,21.816,21.274,23.538,22.311,20.330,25.802,24.835,29.505,33.066,34.811,34.175
21-01-2020,32.736,30.590,25.637,23.632,24.410,26.392,26.675,26.274,27.736,29.717,33.349,32.760,27.901,20.660,21.439,16.061,16.462,18.514,19.859,25.118,26.321,29.859,38.043,42.878
22-01-2020,40.543,34.552,29.363,26.368,24.599,23.467,24.104,24.528,30.212,36.179,36.132,35.991,39.057,45.212,44.717,43.420,39.929,33.467,35.165,25.000,15.637, 6.368, 9.528, 9.552
