   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2022,17.000, 7.000, 8.000,12.000, 8.000, 5.000, 5.000, 6.000, 7.000, 5.000, 4.000,10.000,14.000,11.000, 9.000, 8.000,10.000, 7.000,12.000,13.000, 9.000,10.000,11.000, 7.000
02-01-2022, 5.000, 3.000, 3.000, 4.000, 3.000, 3.000, 3.000, 1.000,-1.000, 3.000, 4.000, 2.000, 1.000, 3.000, 4.000, 4.000, 4.000, 1.000, 2.000, 3.000, 1.000, 0.000, 3.000, 8.000
03-01-2022, 9.000, 7.000, 6.000, 5.000, 6.000, 5.000, 5.000, 6.000, 4.000, 2.000, 0.000, 0.000, 3.000, 3.000, 3.000, 4.000, 3.000,10.000, 7.000, 9.000, 9.000, 6.000, 5.000, 6.000
04-01-2022, 3.000, 4.000, 5.000, 5.000, 6.000, 7.000, 7.000, 3.000, 3.000, 5.000, 4.000, 2.000, 0.000, 4.000, 4.000, 4.000, 5.000, 3.000, 6.000,10.000, 6.000, 6.000, 6.000, 3.000
05-01-2022, 0.000, 5.000, 4.000, 5.000, 5.000, 4.000, 5.000, 6.000, 8.000, 7.000, 6.000, 5.000, 5.000, 6.000, 6.000, 7.000,10.000, 6.000, 5.000,15.000,10.000,10.000,14.000,15.000
06-01-2022,19.000,18.000,16.000,14.000,11.000, 8.000,11.000, 9.000, 8.000,12.000,12.000, 7.000, 7.000, 6.000, 7.000, 7.000, 2.000, 0.000, 3.000, 3.000, 3.000, 2.000, 5.000, 4.000
07-01-2022, 4.000, 3.000, 5.000, 3.000, 0.000, 1.000, 1.000, 3.000, 1.000, 3.000, 2.000, 1.000, 3.000, 8.000, 5.000, 3.000, 2.000, 2.000, 5.000, 5.000,10.000, 9.000,11.000,10.000
08-01-2022,12.000, 9.000, 7.000, 6.000, 3.000, 0.000,-2.000, 3.000, 2.000, 3.000, 3.000, 1.000, 1.000, 0.000, 0.000, 0.000, 2.000, 4.000, 5.000, 6.000, 5.000, 4.000, 1.000, 3.000
09-01-2022, 7.000, 6.000, 2.000, 2.000, 4.000, 3.000, 2.000, 2.000, 3.000, 3.000, 3.000, 8.000, 6.000, 4.000, 3.000, 2.000, 2.000,11.000,16.000,18.000,19.000,14.000,14.000,15.000
10-01-2022,15.000,17.000,14.000,11.000,15.000,10.000,12.000,12.000,14.000,15.000,14.000,12.000,17.000,17.000, 9.000,12.000, 9.000,12.000,12.000,13.000,14.000,18.000,12.000,13.000
